date,Strategy Return
2018-07-02,0.002672935285426735
2018-07-03,-0.006936734463821071
2018-07-05,0.009378051384246246
2018-07-06,0.00904921615907982
2018-07-09,0.0013157616932823418
2018-07-10,0.004183631435930094
2018-07-11,0.0003527424345563919
2018-07-12,0.0012417735593639222
2018-07-13,0.0007808279049711718
2018-07-16,-0.0020493361426696336
2018-07-17,-0.0022039079680449434
2018-07-18,-0.003526981348908794
2018-07-19,-0.0013198077823712948
2018-07-20,-0.002004096853393476
2018-07-23,-0.0006794013267484589
2018-07-24,-0.0006931960862180305
2018-07-25,0.009992465710508072
2018-07-26,0.0028916808495807037
2018-07-27,-0.013123760848935784
2018-07-30,-0.013713275414650722
2018-07-31,0.003218290701195235
2018-08-01,-0.008442477928751439
2018-08-02,0.007565936231400948
